1;2;2;3;3;4;4;5;6;6;7;7;8;8;9;10;11;11;12;12
1;1;3;1;3;1;3;1;1;3;1;3;1;3;1;1;1;3;1;3
F^7;E%7;A7;Dm7;G7;Cm7;F7;Bb7;Bbm7;Eb7;Am7;D7;Abm7;Db7;Gm7;C7;F^7;Dm7;Gm7;C7
I_F;II_d;V_d;I_d;V_C;I_c;V_Bb;IV_F;II_Ab;V_Ab;II_G;V_G;II_Gb;V_Gb;II_F;V_F;I_F;;;
I_F;V_d;;I_d;V_C;I_C;V_Bb;IV_F;V_Ab;;V_G;;V_Gb;;V_F;;I_F;;;
I_F;I_d;;;V_C;I_C;V_Bb;IV_F;V_D;;V_G;;V_Gb;;I_F;;;;;
I_F;II_C;;;V_C;I_C;V_Bb;IV_F;V_G;;;;V_Gb;;I_F;;;;;
I_F;V_C;;;;I_C;V_Bb;IV_F;V_Db;;;;V_Gb;;I_F;;;;;
I_F;I_C;;;;;V_Bb;IV_F;V_Gb;;;;;;I_F;;;;;
I_F;I_c;;;;;V_Bb;IV_F;V_C;;;;;;I_F;;;;;
I_F;II_Bb;;;;;V_Bb;IV_F;V_F;;;;;;I_F;;;;;
I_F;V_Bb;;;;;;IV_F;V_F;;;;;;I_F;;;;;
I_F;IV_F;;;;;;;V_F;;;;;;I_F;;;;;
I_F;V_F;;;;;;;;;;;;;I_F;;;;;
I_F;V_F;;;;;;;;;;;;;I_F;;;;;
I_F;I_F;;;;;;;;;;;;;;;;;;
I_F;;;;;;;;;;;;;;;;;;;
