1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Fm7;Fm7;Fm7;Fm7;Db7;Db7;Db7;Db7;C^{sus4}/D;C^{sus4}/D;C^{sus4}/D;C^{sus4}/D;Fm7;Fm7;Fm7;Fm7
I_f;I_f;I_f;I_f;VI_f;VI_f;VI_f;VI_f;V_f;V_f;V_f;V_f;I_f;I_f;I_f;I_f
I_f;;I_f;;VI_f;;VI_f;;V_f;;V_f;;I_f;;I_f;
I_f;;;;VI_f;;;;V_f;;;;I_f;;;
I_f;;;;V_Gb;;;;V_f;;;;I_f;;;
I_f;;;;V_C;;;;V_f;;;;I_f;;;
I_f;;;;I_G;;;;V_f;;;;I_f;;;
I_f;;;;I_g;;;;V_f;;;;I_f;;;
I_f;;;;II_F;;;;V_f;;;;I_f;;;
I_f;;;;II_f;;;;V_f;;;;I_f;;;
I_f;;;;V_f;;;;;;;;I_f;;;
I_f;;;;;;;;;;;;I_f;;;
I_f;;;;;;;;;;;;;;;
