1;2;2;3;4;4;5;6;7;8;9;10;10;11;12;12;13;13;14;14;15
1;1;3;1;1;3;1;1;1;1;1;1;3;1;1;3;1;3;1;3;1
Am7;Am7;E7;Am7;Am7;A7;Dm7;F7;B7;E7;Am7;Am7;E7;Am7;D7;G7;C^7;Am7;B%7;E7;Am7
I_a;I_a;V_a;I_a;I_a;V_d;IV_a;V_Bb;V_E;V_a;I_a;I_a;V_a;I_a;V_G;V_C;I_C;I_a;II_a;V_a;I_a
I_a;;I_a;;I_a;IV_a;;V_E;V_a;;I_a;;I_a;;V_C;;I_C;I_a;V_a;;I_a
I_a;;;;I_a;II_a;;V_a;;;I_a;;;;I_C;;;I_a;I_a;;
I_a;;;;;V_a;;;;;I_a;;;;III_a;;;I_a;I_a;;
I_a;;;;;I_a;;;;;;;;;I_a;;;I_a;I_a;;
I_a;;;;;;;;;;;;;;I_a;;;;I_a;;
I_a;;;;;;;;;;;;;;I_a;;;;;;
I_a;;;;;;;;;;;;;;;;;;;;
